2026-04-09 13:55:45, 22.9, 15.47, 55.17, 556.38, 0.0597, 7.0
2026-04-09 13:55:50, 24.18, 6.61, 59.14, 677.3, 0.0532, 6.92
2026-04-09 13:55:55, 22.25, 4.22, 53.01, 601.07, 0.0968, 5.68
2026-04-09 13:56:00, 26.97, 3.24, 59.3, 586.68, 0.0565, 6.69
2026-04-09 13:56:05, 26.69, 1.92, 58.61, 693.67, 0.0581, 4.08
2026-04-09 13:56:10, 29.34, 7.78, 54.14, 619.09, 0.069, 4.32
2026-04-09 15:07:39, 22.55, 15.81, 53.56, 670.88, 0.0725, 6.4
2026-04-09 15:07:44, 27.7, 18.2, 56.94, 563.51, 0.0418, 4.45
2026-04-09 15:07:49, 24.43, 0.8, 52.66, 518.2, 0.0582, 5.64
2026-04-09 15:07:54, 27.8, 16.23, 59.23, 696.83, 0.0509, 5.09
2026-04-09 15:07:59, 29.23, 13.26, 50.34, 615.67, 0.0385, 4.37
2026-04-09 15:08:04, 20.48, 17.66, 59.8, 599.99, 0.0273, 4.5
2026-04-09 15:12:13, 28.39, 17.3, 59.41, 679.73, 0.0965, 5.98
2026-04-09 15:12:18, 25.96, 4.54, 58.26, 502.95, 0.0744, 5.37
2026-04-09 15:12:23, 23.61, 18.77, 55.31, 571.58, 0.093, 5.75
2026-04-09 15:12:28, 22.33, 14.17, 52.4, 581.49, 0.0531, 5.55
2026-04-09 15:16:57, 22.11, 0.1, 52.24, 536.23, 0.049, 5.88
2026-04-09 15:17:25, 27.38, 12.18, 52.1, 596.9, 0.0279, 5.18
2026-04-09 15:24:33, 26.98, 9.7, 50.39, 672.53, 0.0304, 4.68
2026-04-09 15:24:38, 23.04, 1.52, 52.15, 679.07, 0.0987, 5.48
2026-04-09 15:24:43, 24.56, 9.27, 50.56, 540.89, 0.0803, 4.52
2026-04-09 15:24:48, 21.27, 6.57, 59.43, 531.65, 0.041, 6.84
2026-04-09 15:24:53, 24.24, 10.62, 54.46, 506.78, 0.0433, 4.82
2026-04-09 15:24:58, 19.21, 19.89, 57.95, 669.98, 0.086, 6.06
2026-04-09 15:25:03, 28.52, 10.83, 50.04, 683.66, 0.0257, 6.29
2026-04-09 15:25:08, 25.03, 10.55, 58.49, 658.92, 0.0687, 4.31
2026-04-09 15:25:13, 23.08, 18.06, 50.47, 684.41, 0.0477, 5.02
2026-04-09 15:25:18, 24.15, 6.88, 58.62, 634.98, 0.0397, 4.37
2026-04-09 15:25:23, 25.26, 3.11, 56.03, 619.6, 0.0963, 5.89
2026-04-09 15:25:28, 21.91, 6.51, 59.52, 597.23, 0.0291, 4.28
2026-04-09 15:25:33, 19.88, 14.14, 57.71, 608.34, 0.0373, 4.9
2026-04-09 15:25:38, 20.34, 3.81, 57.48, 518.0, 0.0949, 4.9
2026-04-09 15:25:43, 22.58, 1.71, 59.93, 679.62, 0.0228, 6.81
2026-04-09 15:25:48, 26.17, 16.67, 56.45, 547.34, 0.043, 6.46
2026-04-09 15:25:53, 19.65, 2.38, 52.3, 609.05, 0.0635, 6.25
2026-04-09 15:25:58, 25.18, 16.46, 50.84, 586.28, 0.0936, 4.99
2026-04-09 15:26:03, 28.11, 2.28, 50.27, 633.13, 0.0255, 4.93
2026-04-09 15:26:08, 21.23, 16.13, 52.86, 562.96, 0.0912, 5.54
2026-04-09 15:26:13, 18.98, 0.83, 50.81, 583.58, 0.0777, 5.38
2026-04-09 15:26:18, 28.25, 2.63, 59.97, 664.73, 0.0291, 4.52
2026-04-09 15:26:23, 28.92, 3.56, 55.59, 633.91, 0.092, 6.87
2026-04-09 15:26:28, 28.35, 3.62, 58.62, 682.82, 0.029, 4.67
2026-04-09 15:26:33, 23.14, 6.23, 56.44, 607.15, 0.0487, 6.29
2026-04-09 15:26:38, 28.38, 13.1, 57.55, 643.39, 0.0812, 5.01
2026-04-09 15:26:43, 20.3, 11.48, 53.56, 527.85, 0.0813, 6.99
2026-04-09 15:26:48, 28.43, 18.26, 52.21, 691.73, 0.0243, 5.63
2026-04-09 15:26:53, 23.24, 18.29, 54.79, 663.7, 0.0884, 5.68
2026-04-09 15:26:58, 20.87, 7.69, 57.38, 564.52, 0.0455, 5.17
2026-04-09 15:27:03, 22.68, 14.56, 58.26, 505.22, 0.0991, 4.5
